#,RefDes,Name,Value,Pattern,Quantity,Digikey #,Description
1,B1,MLL1200S, ,MLL1200S,1,450-1577-ND,Switch
2,C1,CAP_0603,0.1uF,CAP_0603,1,,
3,"C2, C3",CAP_0402,0.1uF,CAP_0402,2,,
4,"C4, C6, C7, C8",CAP_0603,1 uF,CAP_0603,4,,
5,C5,CAP_0603,2.2uF,CAP_0603,1,,
6,D1,DIODE_0805,GREEN,DIO_0805,1,,
7,H1,PIC24-DebugHeader,,SFW6R-2STE1LF,1,609-1890-1-ND,FlatConnector
8,H2,3x1 Pin 1.27 Header,,3x1 1.27,1,,
9,H3,5x2 Pin 1.27 Header,,5x2 1.27,1,,CCDEBUG Header
10,L1,IND_0804,FB 1kOhm,IND_0804,1,,
11,"R1, R3, R4",RES_0603,10k,RES_0603,3,,
12,"R2, R7",RES_0603,100,RES_0603,2,,
13,R5,RES_0603,0,RES_0603,1,,
14,R6,RES_0603,330,RES_0603,1,,
15,S1,R530-0403-02N-440P55-R27-L14,,R530-0403-02N-440P55-R27-L14,1,,SGX Sensor Socket from Andon Electronics
16,"T1, T2, T3, T4, T5, T6",Test Point,,NP,0,,
17,U1,AT25128B,,SOIC-8/150mil,1,AT25128B-SSHL-T,EEPROM
18,U2,PIC24F16KA102_ML,,QFN-28/6x6x0.65,1,PIC24F16KA102-I/ML-ND,MCU
19,U3,LD39080DT33-R,,TO252-3(4)/10x6.6x2.28,1,497-6015-1-ND,V-reg
20,U4,ADR5041,2.5V,SOT323,1,ADR5041BKSZ-REEL7CT-ND,2.5v shunt
21,U5,BLE112,,BLE112,1,Mouser (603-BLE112-A),BLE
22,U6,LMP9100,,LMP91002,1,LMP91002SD/NOPBCT-ND,AFE
23,U7,HPP828E031,,HTU21D,1,223-1144-1-ND,Temp/Hum
,,,,,35,,
