RefDes,Name,X (in),Y (in),Side,Rotate,Value
B1,MLL1200S,2.581,0.951,Top,90, 
C1,CAP_0603,1.163,0.142,Top,270,0.1uF
C2,CAP_0402,1.466,0.431,Top,270,0.1uF
C3,CAP_0402,1.504,0.794,Top,0,0.1uF
C4,CAP_0603,2.144,0.792,Top,270,1 uF
C5,CAP_0603,2.143,1.04,Top,90,2.2uF
C6,CAP_0603,2.552,0.678,Top,0,1 uF
C7,CAP_0603,2.157,0.678,Top,180,1 uF
C8,CAP_0603,1.82,0.215,Top,270,1 uF
D1,DIODE_0805,1.763,0.662,Top,180,GREEN
H1,PIC24-DebugHeader,1.507,0.295,Top,0,
H2,3Pin,2.384,0.926,Top,270,BAT/EXT
H3,10 (5x2) Pin,2.2,0.661,Bottom,270,CCDEBUG
L1,IND_0804,2.236,0.825,Top,180,FB 1kOhm
R1,RES_0603,1.163,0.408,Top,90,10k
R2,RES_0603,1.279,0.375,Top,180,100
R3,RES_0603,1.721,0.45,Top,0,10k
R4,RES_0603,1.721,0.388,Top,0,10k
R5,RES_0603,1.163,0.283,Top,90,0
R6,RES_0603,1.704,0.575,Top,180,330
R7,RES_0603,1.15,0.896,Top,90,100
S1,ECHEM SENSOR,0.41,0.6,Top,270,
U1,AT25128B,1.394,0.987,Top,0,
U2,PIC24F16KA102_ML,1.491,0.623,Top,0,
U3,LD39080DT33-R,1.894,0.916,Top,180,
U4,ADR5041,1.149,0.734,Top,270,2.5V
U5,BLE112,1.898,0.363,Top,270,
U6,LMP9100,0.947,0.55,Top,0,
U7,HPP828E031,0.727,1.009,Top,270,
U8,LOGO,0.788,0.263,Top,0,
